#,Ticker,Sectors,MarketCap,CapitalSize,Price,Open,High,Low,Close,Position,EPS,PE,Weighting
44,CII,Industrials,7120022380497,Small,29511,29316,29511,29120,29511,3.42,2906,10.2,4.2
96,FLC,Real Estate,3636820800900,Small,5700,5700,5810,5660,5700,13.19,1448,3.9,4.1
75,DPM,Materials,10352530000000,Mid,26450,26264,26450,26171,26450,0.84,3318,8,3.5
114,HBC,Industrials,2861758250100,Small,30300,31200,31300,29850,30300,2.74,3751,8.1,3.5
183,NT2,Ultilities,10799935135419,Mid,37911,37911,37911,37567,37911,5.45,4599,8.2,3.4
147,KDC,Consumer Staples,9586004377950,Mid,37350,37800,37800,36600,37350,0.29,4446,8.4,3.4
126,HQC,Real Estate,2260980000000,Small,5300,5270,5300,5270,5300,3.46,1482,3.6,3.1
128,HSG,Materials,7448859519100,Small,37900,38095,38144,36871,37900,-6.42,7637,5,3.1
125,HPG,Materials,34642160691600,Mid,41100,42900,43300,40500,41100,-8.14,6190,6.6,2.8
306,VNS,Industrials,2408051287312,Small,35486,35875,35875,35292,35486,2.03,4608,7.7,2.5
178,NCT,Industrials,2276523780000,Small,87000,88000,89000,87000,87000,-7.96,9984,8.7,2.4
135,HVG,Consumer Staples,2361207659200,Small,10400,9920,10400,9920,10400,6.1,1181,8.8,2.4
208,PVT,Energy,4024594316600,Small,14300,14250,14350,14050,14300,1.38,1589,9,2.3
98,FPT,Information Technology,20697172114200,Mid,45050,46150,46300,44700,45050,-2.58,4334,10.4,2.2
179,NKG,Materials,1941333206800,Small,38800,39000,39000,37000,38800,-1.06,9455,4.1,2.1
226,SCR,Real Estate,2067149363082,Small,9523,9428,9714,9428,9523,1.77,864,11,2.1
